#source_node	source_class	dest_node	dest_class	edge_class
24174	R	24932	R	R->R
24174	R	24933	R	R->R
24174	R	24934	R	R->R
24174	R	24935	R	R->R
24174	R	24936	R	R->R
24174	R	24937	R	R->R
24174	R	24938	R	R->R
24174	R	24939	R	R->R
24174	R	24940	R	R->R
24174	R	24941	R	R->R
24174	R	24942	R	R->R
24174	R	24943	R	R->R
24174	R	24944	R	R->R
24174	R	24945	R	R->R
24174	R	24946	R	R->R
24174	R	24947	R	R->R
24174	R	24948	R	R->R
24174	R	24949	R	R->R
24174	R	24950	R	R->R
24174	R	24951	R	R->R
24174	R	24952	R	R->R
24174	R	24953	R	R->R
24174	R	24954	R	R->R
24174	R	24955	R	R->R
24174	R	24956	R	R->R
24174	R	24957	R	R->R
24174	R	24958	R	R->R
24174	R	24959	R	R->R
24174	R	24960	R	R->R
24174	R	24961	R	R->R
24174	R	24962	R	R->R
24174	R	24963	R	R->R
24174	R	24964	R	R->R
24174	R	24965	R	R->R
24174	R	24966	R	R->R
24174	R	24967	R	R->R
24174	R	24968	R	R->R
24174	R	24969	R	R->R
24174	R	24970	R	R->R
24174	R	24971	R	R->R
24174	R	24972	R	R->R
24174	R	24973	R	R->R
24174	R	24974	R	R->R
24174	R	24975	R	R->R
24174	R	24976	R	R->R
24174	R	24977	R	R->R
24174	R	24978	R	R->R
24174	R	24979	R	R->R
24174	R	24980	R	R->R
24174	R	24981	R	R->R
24174	R	24982	R	R->R
24174	R	24983	R	R->R
24174	R	24984	R	R->R
24174	R	24985	R	R->R
24174	R	24986	R	R->R
24174	R	24987	R	R->R
24174	R	24988	R	R->R
24174	R	24989	R	R->R
24174	R	24990	R	R->R
24174	R	24991	R	R->R
24174	R	24992	R	R->R
24174	R	24993	R	R->R
24174	R	24994	R	R->R
24174	R	24995	R	R->R
24174	R	24996	R	R->R
24174	R	24997	R	R->R
24174	R	24998	R	R->R
24174	R	24999	R	R->R
24174	R	25000	R	R->R
24174	R	25001	R	R->R
24174	R	25002	R	R->R
24174	R	25003	R	R->R
24174	R	25004	R	R->R
24174	R	25005	R	R->R
24174	R	25006	R	R->R
24174	R	25007	R	R->R
24174	R	25008	R	R->R
24174	R	25009	R	R->R
24174	R	25010	R	R->R
24174	R	25011	R	R->R
24174	R	25012	R	R->R
24174	R	25013	R	R->R
24174	R	25014	R	R->R
24174	R	25015	R	R->R
24174	R	25016	R	R->R
24174	R	25017	R	R->R
24174	R	25018	R	R->R
24174	R	25019	R	R->R
24174	R	25020	R	R->R
24174	R	25021	R	R->R
24174	R	25022	R	R->R
24174	R	25023	R	R->R
24174	R	25024	R	R->R
24174	R	25025	R	R->R
24174	R	25026	R	R->R
24174	R	25027	R	R->R
24174	R	25028	R	R->R
24174	R	25029	R	R->R
24174	R	25030	R	R->R
24174	R	25031	R	R->R
24174	R	25032	R	R->R
24174	R	25033	R	R->R
24174	R	25034	R	R->R
24174	R	25035	R	R->R
24174	R	25036	R	R->R
24174	R	25037	R	R->R
24174	R	25038	R	R->R
24174	R	25039	R	R->R
24174	R	25040	R	R->R
24174	R	25041	R	R->R
24174	R	25042	R	R->R
24174	R	25043	R	R->R
24174	R	25044	R	R->R
24174	R	25045	R	R->R
24174	R	25046	R	R->R
24174	R	25047	R	R->R
24174	R	25048	R	R->R
24174	R	25049	R	R->R
24174	R	25050	R	R->R
24174	R	25051	R	R->R
24174	R	25052	R	R->R
24174	R	25053	R	R->R
24174	R	25054	R	R->R
24174	R	25055	R	R->R
24174	R	25056	R	R->R
24174	R	25057	R	R->R
24174	R	25058	R	R->R
24174	R	25059	R	R->R
24174	R	25060	R	R->R
24174	R	25061	R	R->R
24174	R	25062	R	R->R
24174	R	25063	R	R->R
24174	R	25064	R	R->R
24174	R	25065	R	R->R
24174	R	25066	R	R->R
24174	R	25067	R	R->R
24174	R	25068	R	R->R
24174	R	25069	R	R->R
24174	R	25070	R	R->R
24174	R	25071	R	R->R
24174	R	25072	R	R->R
24174	R	25073	R	R->R
24174	R	25074	R	R->R
24174	R	25075	R	R->R
24174	R	25076	R	R->R
24174	R	25077	R	R->R
